time,onMains,plan,overlay,vendorProcs,note
03:30:24.787,True,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,start
03:30:32.442,False,Office,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:39.642,True,Office,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:40.428,True,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:42.776,True,High performance,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:46.840,False,Office,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:50.151,True,Office,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:50.936,True,High performance,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
03:30:54.867,True,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
