time,onMains,plan,overlay,vendorProcs,note
03:28:03.892,True,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,0,start
03:28:14.374,False,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,0,CHANGED
03:28:26.672,True,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,0,CHANGED
03:29:24.389,True,Gaming,ac=3AF9B8D9-7C97-431D-AD78-34A8BFEA439F dc=,1,CHANGED
