time,detailLength,detailHex,instance
03:23:08.981,32,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:23:10.474,32,01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:23:17.368,32,02-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:23:18.816,32,00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
03:24:36.825,32,01-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00-00,ACPI\PNP0C14\0x1_0
