"Guid","Name","Size","Hash","Preview"
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","EWRD","33","7F9C9E31AC8256CA",""
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","GPC","13","DD46C3EEBB1884FF","00-00-00-00-00-00-00-00-00-00-00-00-00"
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","SADS","2","FCF0A6C700DD13E2","00-02"
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","SPLC","9","C12AA228FF0CA73B","00-FF-FF-00-00-30-75-00-00"
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","WAND","7","8C20E76A160A13F6","00-B3-32-32-00-32-32"
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","WGDS","19","BAEF30FBA5BC69DA",""
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","WRDD","3","B5ED7A84C45DBCBE","00-50-41"
"{92DAAF2F-C02B-455B-B2EC-F5A3594F4AEA}","WRDS","12","15EC7BF0B50732B4","00-00-00-00-00-00-00-00-00-00-00-00"
"{97E8965F-C761-4F48-B6E4-9FFA9CB2A2D6}","DeploymentModeNv","1","6E340B9CFFB37A98","00"
"{9D0DA369-540B-46F8-85A0-2B5F2C301E15}","EfiTime","3","0AC9C229C035D91B","FF-07-00"
"{A8A2093B-FEFA-43C1-8E62-CE526847265E}","AMITCGPPIVAR","24","9D908ECFB6B256DE",""
"{A9B5F8D2-CB6D-42C2-BC01-B5FFAAE4335E}","PBRDevicePath","536","8C416812C1C5BC9A",""
"{B08F97FF-E6E8-4193-A997-5E9E9B0ADB32}","CpuSetupVolatileData","11","69966BBBC3A5B7F3","A0-06-09-00-03-00-00-00-88-00-3C"
"{B39AF7E9-E484-4260-8165-07399F924DDC}","PlatformData","64","797E68C4DC4171BB",""
"{BB983CCF-151D-40E1-A07B-4A17BE168292}","MemoryOverwriteRequestControlLock","1","DBC1B4C900FFE48D","02"
"{D32B96A5-648C-4D80-8767-B40DBEC662FA}","RetLan","8","2C4B4C3F34A105B9","88-EF-30-02-00-00-00-00"
"{D719B2CB-3D3A-4596-A3BC-DAD00E67656F}","db","7636","28DC00196493F717",""
"{D719B2CB-3D3A-4596-A3BC-DAD00E67656F}","dbx","21568","F8899F075E01944B",""
"{DE8AB926-EFDA-4C23-BBC4-98FD29AA0069}","FixedBoot","648","F4BD841308415DE6",""
"{E20939BE-32D4-41BE-A150-897F85D49829}","MemoryOverwriteRequestControl","1","4A64A107F0CB3253","11"
"{EA1FCAEE-3A77-4BB8-9B98-518E75D29A99}","MotherBoardHealth","16","B82FA6D339AAB0FA","39-62-0B-8B-02-00-00-00-93-02-00-00-00-00-00-00"
"{EAEC226F-C9A3-477A-A826-DDC716CDC0E3}","OfflineUniqueIDEKPub","256","CCEB372EDD0826B5",""
"{EAEC226F-C9A3-477A-A826-DDC716CDC0E3}","OfflineUniqueIDEKPubCRC","4","E4A28B2F785A7993","A5-E7-7B-B2"
"{EAEC226F-C9A3-477A-A826-DDC716CDC0E3}","UnlockIDCopy","32","36897A62D7B2EB1B",""
"{EB41D646-F49F-4655-9165-21D1224E3932}","AmiEmaIndications","4","67ABDD721024F0FF","01-00-00-00"
"{EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9}","FixedBootGroup","38","6E85E1057B6BC188",""
"{EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9}","InitSetupVariable","1","4BF5122F344554C5","01"
"{EC87D643-EBA4-4BB5-A1E5-3F3E36B20DA9}","TbtSetupVolatileData","6","6FF0F845DF642310","00-04-01-01-01-01"
"{FE47349A-7F0D-4641-822B-34BAA28ECDD0}","UIT_DATA","17","AFBE17B2212F6EEE",""
"{FE47349A-7F0D-4641-822B-34BAA28ECDD0}","UIT_HEADER","32","4CECEF3ACEC80678",""
